serie,year,México,USA,Brasil,Chile,Latinoamérica,OCDE
PIB per cápita (dólares estadounidenses constantes de 2010),2000,9253.97,44726.97,8803.15,9419.98,7519.07,31958.93
PIB per cápita (dólares estadounidenses constantes de 2010),2001,9088.05,44728.6,8804.33,9622.15,7479.41,32170.56
PIB per cápita (dólares estadounidenses constantes de 2010),2002,8960.55,45087.37,8954.84,9814.66,7399.88,32426.01
PIB per cápita (dólares estadounidenses constantes de 2010),2003,8967.03,45980.51,8943.83,10109.67,7416.99,32849.54
PIB per cápita (dólares estadounidenses constantes de 2010),2004,9190.74,47287.59,9346.04,10726.64,7786.97,33661
PIB per cápita (dólares estadounidenses constantes de 2010),2005,9270.66,48499.81,9535.42,11225.08,8017.5,34367.08
PIB per cápita (dólares estadounidenses constantes de 2010),2006,9547.33,49405.77,9805.72,11808.83,8337.27,35170.11
PIB per cápita (dólares estadounidenses constantes de 2010),2007,9622.05,49856.28,10293.53,12256.43,8692.48,35859.84
PIB per cápita (dólares estadounidenses constantes de 2010),2008,9587.64,49319.48,10710.87,12553.79,8928.37,35678.18
PIB per cápita (dólares estadounidenses constantes de 2010),2009,8947.74,47648.81,10594.99,12227.21,8660.21,34208.8
PIB per cápita (dólares estadounidenses constantes de 2010),2010,9271.4,48467.52,11286.24,12808.03,9065.81,34983.49
PIB per cápita (dólares estadounidenses constantes de 2010),2011,9477.89,48866.05,11627.81,13455.84,9356.82,35452.07
PIB per cápita (dólares estadounidenses constantes de 2010),2012,9690.87,49603.25,11745.78,14035.68,9512.75,35686.26
PIB per cápita (dólares estadounidenses constantes de 2010),2013,9693.72,50171.24,11993.48,14461.17,9673.37,35994.57
PIB per cápita (dólares estadounidenses constantes de 2010),2014,9839.05,51028.82,11951.21,14561.33,9667.66,36489.53
PIB per cápita (dólares estadounidenses constantes de 2010),2015,10037.2,52116.74,11431.15,14722.37,9578.43,37129.65
PIB per cápita (dólares estadounidenses constantes de 2010),2016,10205.8,52555.52,10965.97,14777.15,9452.25,37522.93
PIB per cápita (dólares estadounidenses constantes de 2010),2017,10301.36,53382.76,11021.72,14741.19,9527.91,38226.55
PIB per cápita (dólares estadounidenses constantes de 2010),2018,10403.54,54659.2,11079.71,15111.7,9588.3,38845.35
PIB per cápita (dólares estadounidenses constantes de 2010),2019,10275.63,55670.24,11121.74,15091.45,9578.66,39277.09
PIB per cápita (dólares estadounidenses constantes de 2010),2020,,,,,,
Crecimiento del PIB (% anual),2000,4.94,4.13,4.39,5.33,3.79,3.99
Crecimiento del PIB (% anual),2001,-0.4,1,1.39,3.3,0.88,1.41
Crecimiento del PIB (% anual),2002,-0.04,1.74,3.05,3.11,0.29,1.55
Crecimiento del PIB (% anual),2003,1.45,2.86,1.14,4.09,1.56,2.05
Crecimiento del PIB (% anual),2004,3.92,3.8,5.76,7.21,6.34,3.22
Crecimiento del PIB (% anual),2005,2.31,3.51,3.2,5.74,4.26,2.83
Crecimiento del PIB (% anual),2006,4.5,2.85,3.96,6.32,5.27,3.1
Crecimiento del PIB (% anual),2007,2.29,1.88,6.07,4.91,5.51,2.73
Crecimiento del PIB (% anual),2008,1.14,-0.14,5.09,3.53,3.92,0.27
Crecimiento del PIB (% anual),2009,-5.29,-2.54,-0.13,-1.56,-1.89,-3.43
Crecimiento del PIB (% anual),2010,5.12,2.56,7.53,5.84,5.85,2.94
Crecimiento del PIB (% anual),2011,3.66,1.55,3.97,6.11,4.37,1.85
Crecimiento del PIB (% anual),2012,3.64,2.25,1.92,5.32,2.78,1.28
Crecimiento del PIB (% anual),2013,1.35,1.84,3,4.05,2.78,1.51
Crecimiento del PIB (% anual),2014,2.8,2.45,0.5,1.77,0.99,2.05
