concepto,def
Causa del divorcio,"Motivo expresado por la parte interesada para disolver el vínculo matrimonial, contemplado en el Código Civil de la entidad federativa correspondiente."
Condición de actividad económica,"Situación que distingue a la población, según haya realizado o no alguna actividad económica al momento de registrar el hecho vital."
Condición de la existencia de hijos,Indica si durante el matrimonio se dio la procreación de descendencia
Custodia,Guarda física de los hijos menores no emancipados dictaminada en una sentencia. Su ejercicio tiene implícito el otorgamiento de la patria potestad.
Divorcio,"Disolución jurídica definitiva de un matrimonio, es decir, la separación del marido y la mujer, que confiere a las partes el derecho a contraer nuevas nupcias, de acuerdo con las disposiciones civiles, religiosas o de otra índole, y de conformidad con la legislación de cada país."
Divorcio administrativo,"Disolución jurídica definitiva de un matrimonio que se tramita en las oficialías del registro civil, siempre y cuando se encuentre legislado en la entidad que corresponda, se solicita siempre por mutuo consentimiento de los cónyuges, los requisitos son que sean mayores de edad, no tengan hijos o que la mujer no se encuentre embarazada y de común acuerdo hayan liquidado la sociedad conyugal."
Divorcio judicial,"Disolución jurídica definitiva de un matrimonio en el cual interviene algún juez de lo familiar, civil o mixto, independientemente de que se trate de un divorcio necesario o voluntario."
Divorcio necesario,"Disolución jurídica definitiva de un matrimonio que es solicitado por alguno de los cónyuges, por una o más causas de tipo contencioso, enmarcadas en el código civil de cada entidad federativa (excepto mutuo consentimiento)."
Divorcio voluntario,"Disolución jurídica definitiva en el que ambas partes establecen por mutuo consentimiento disolver el vínculo matrimonial y que requiere la intervención de un juez en virtud de la existencia de hijos, porque los cónyuges son menores de edad o porque no han liquidado la sociedad conyugal."
Duración legal del matrimonio,Tiempo transcurrido entre la fecha de celebración del matrimonio y la fecha de resolución o sentencia ejecutoria del divorcio.
Duración social del matrimonio,Tiempo transcurrido entre la fecha de celebración del matrimonio y la fecha de presentación de la demanda del divorcio.
Edad,Tiempo transcurrido entre la fecha de nacimiento de la persona y la del momento en que ocurre o se registra el hecho vital.
Entidad federativa,Unidad geográfica mayor de la división político-administrativa del país; el territorio nacional se divide en 31 estados y un Distrito Federal.
Estado conyugal,"Situación de las personas en relación con los derechos y obligaciones legales y de costumbre del país, respecto de la unión o matrimonio, incluye por lo tanto, las condiciones de hecho y derecho."
Fecha de ejecutoria del divorcio,"Día, mes y año en que causa efecto legal la sentencia dictada para un divorcio judicial o uno de tipo administrativo. A partir de este momento se considera legal la disolución matrimonial."
Fecha de presentación de la demanda de divorcio,"Día, mes y año en que la parte interesada solicita el divorcio."
Fecha de registro,"Día, mes y año en que se inscribe el hecho vital en la institución correspondiente."
Hijos del matrimonio,Es el número de hijos nacidos vivos concebidos por el matrimonio que sobreviven al momento del divorcio e independientemente de que vivan o no con los padres
Hijos menores,Es el número de hijos menores de dieciocho años que aún viven con los padres al momento de la ejecutoria del divorcio
Localidad,"Lugar, circunscrito a un municipio o delegación, ocupado por una o más viviendas, las cuales pueden estar habitadas o no. Este lugar es reconocido por un nombre dado por la ley o costumbre."
Lugar de registro,"Entidad federativa, municipio o delegación y localidad donde se inscribe el hecho vital."
Lugar de residencia habitual,"Entidad federativa, municipio o delegación y localidad donde la persona tiene su domicilio particular, principal o permanente."
Municipio o delegación,"División territorial político-administrativa de una entidad federativa. En el caso del Distrito Federal, las 16 delegaciones políticas son equivalentes a los municipios."
Nacionalidad,"Condición legal particular que adquieren las personas por nacimiento o naturalización en una nación determinada, que permite clasificar a los habitantes de un país, en ciudadanos nacionales o extranjeros."
Nivel de escolaridad,Último grado aprobado en el ciclo de instrucción alcanzado que declare haber cursado la persona en el sistema educativo nacional o su equivalente en el caso de estudios en el extranjero al momento de registrar el hecho vital.
Persona a favor de quien se resuelve el juicio del divorcio,"Individuo que de acuerdo con lo establecido en la sentencia del divorcio, se vio favorecido en relación con la situación de los hijos y de los bienes que se generaron durante el matrimonio. La resolución puede favorecer a uno o ambos cónyuges."
Persona a quien se le asigna la patria potestad,Individuo que tiene la representación legal y guarda de los menores no emancipados una vez concluido el divorcio; su ejercicio queda sujeto a la guarda y educación de los menores y a las modalidades que le impriman las resoluciones que se dictan en la sentencia ejecutoria del divorcio.
Persona a quien se le asigna la pensión alimenticia,"Acreedor alimentario a quien se le paga periódicamente la suma de dinero determinada por el juez, después de realizar el divorcio."
Persona que inicio el juicio de divorcio,Indica quien de los cónyuges interpone la demanda de divorcio.
Posición en el trabajo,"Clasificación de la población ocupada, según su relación con los medios de producción y con la propiedad de los bienes y servicios generados en el desempeño de su trabajo."
Primer divorciante,"Es aquel cuya información corresponde a la primera persona que aparece en el expediente de un divorcio judicial o en el acta de un divorcio administrativo, independientemente de su sexo."
Segundo divorciante,"Es aquel cuya información corresponde a la segunda persona que aparece en el expediente de un divorcio judicial o en el acta de un divorcio administrativo, independientemente de su sexo."
Sexo,Condición biológica que distingue a las personas en hombres y mujeres.
Tipo de actividad no económica,Se refiere a la actividad a la que se dedica la persona sin recibir remuneración.
Tipo de divorcio,"Clasifica al divorcio de acuerdo a sí éste fue solicitado por mutuo consentimiento (voluntario), o si alguno de los integrantes de la pareja interpuso una demanda por alguna causa definida en el código civil de cada entidad federativa (divorcio necesario)."
Tipo de trámite,Instancia que establece el código civil de cada entidad federativa para tramitar el divorcio.
