concepto,def
Tasa de dependencia por edad (% de la población en edad de trabajar),La tasa de dependencia por edad es la razón entre los dependientes (personas menores de 15 o mayores de 64) y la población en edad de trabajar (entre 15 y 64 años). Los datos se muestran como la proporción de dependientes por cada 100 habitantes en edad de trabajar.
"Tasa de natalidad, bruta (por cada 100 mil personas)","La tasa bruta de natalidad indica el número de nacidos vivos que se producen durante el año, por cada 100 mil habitantes estimado a mediados de año. Restar la tasa bruta de mortalidad de la tasa bruta de natalidad proporciona la tasa de crecimiento natural, que es igual a la tasa de cambio de población en ausencia de migración."
"Tasa de mortalidad, bruta (por cada 100 mil personas)","La tasa bruta de mortalidad indica el número de muertes ocurridas durante el año, por cada 100 mil habitantes estimado a mediados de año. Restar la tasa bruta de mortalidad de la tasa bruta de natalidad proporciona la tasa de crecimiento natural, que es igual a la tasa de cambio de población en ausencia de migración."
"Tasa de fertilidad, total (nacimientos por mujer)",La tasa de fecundidad total representa el número de hijos que nacería de una mujer si viviera hasta el final de sus años fértiles y tuviera hijos de acuerdo con las tasas de fecundidad específicas por edad del año especificado.
"Esperanza de vida al nacer, total (años)",La esperanza de vida al nacer indica el número de años que viviría un recién nacido si los patrones de mortalidad prevalecientes en el momento de su nacimiento fueran los mismos a lo largo de su vida.
"Esperanza de vida al nacer, hombres (años)",La esperanza de vida al nacer indica el número de años que viviría un recién nacido si los patrones de mortalidad prevalecientes en el momento de su nacimiento fueran los mismos a lo largo de su vida.
"Esperanza de vida al nacer, mujer (años)",La esperanza de vida al nacer indica el número de años que viviría un recién nacido si los patrones de mortalidad prevalecientes en el momento de su nacimiento fueran los mismos a lo largo de su vida.
Tasa de mortalidad mujeres (por cada 100 mil mujeres adultas),"La tasa de mortalidad de adultos, mujeres, es la probabilidad de morir entre las edades de 15 y 60, es decir, la probabilidad de que una mujer de 15 años muera antes de cumplir los 60 años, si está sujeta a tasas de mortalidad específicas por edad de las especificadas. año entre esas edades."
Tasa de mortalidad hombres (por cada 100 mil hombres adultos),"La tasa de mortalidad de adultos, hombres, es la probabilidad de morir entre las edades de 15 y 60, es decir, la probabilidad de que un hombre de 15 años muera antes de cumplir los 60 años, si está sujeta a tasas de mortalidad específicas por edad de las especificadas. año entre esas edades."
Tasa de mortalidad infantil (por cada 100 mil nacidos vivos),"Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year."
Población de 15 a 64 años (% de la población total),"Población total entre las edades de 15 a 64 años como porcentaje de la población total. La población se basa en la definición de facto de población, que cuenta a todos los residentes independientemente de su estado legal o ciudadanía."
Crecimiento de la población (% anual),"La tasa de crecimiento anual de la población para el año t es la tasa de crecimiento exponencial de la población a mitad de año del año t-1 al año t, expresada como porcentaje. La población se basa en la definición de facto de población, que cuenta a todos los residentes independientemente de su estado legal o ciudadanía."
"Población, mujeres (% de la población total)","La población femenina es el porcentaje de la población que es femenina. La población se basa en la definición de facto de población, que cuenta a todos los residentes independientemente de su estado legal o ciudadanía."
"Población, hombres (% de la población total)","La población masculina es el porcentaje de la población que es masculina. La población se basa en la definición de facto de población, que cuenta a todos los residentes independientemente de su estado legal o ciudadanía."
Población rural (% de la población total),La población rural se refiere a las personas que viven en áreas rurales según la definición de las oficinas nacionales de estadística. Se calcula como la diferencia entre la población total y la población urbana.
Población urbana (% de la población total),La población urbana se refiere a las personas que viven en áreas urbanas según la definición de las oficinas nacionales de estadística. La División de Población de las Naciones Unidas recopila y suaviza los datos.
Tasa de fecundidad adolescente (nacimientos/ 100 mil mujeres 15 a 19 años),La salud reproductiva es un estado de bienestar físico y mental en relación con el sistema reproductivo y sus funciones y procesos. Las complicaciones del embarazo y el parto son la principal causa de muerte y discapacidad entre las mujeres en edad reproductiva en los países en desarrollo.
