concepto,def
PIB (millones de dólares EE.UU. constantes de 2010),El PIB es la suma del valor agregado bruto de todos los productores residentes en la economía más los impuestos sobre los productos y menos las subvenciones no incluidas en el valor de los productos. Los datos están en dólares USA constantes de 2010. Las cifras en dólares del PIB se convierten de las monedas nacionales utilizando los tipos de cambio oficiales de 2010.
PIB per cápita (dólares estadounidenses constantes de 2010),El PIB per cápita es el producto interno bruto dividido por la población a mitad de año. Se calcula sin hacer deducciones por depreciación de activos fabricados o por agotamiento y degradación de recursos naturales. Los datos están en dólares estadounidenses constantes de 2010.
Crecimiento del PIB (% anual),Tasa de crecimiento porcentual anual del PIB a precios de mercado en moneda local constante. Los agregados se basan en dólares estadounidenses constantes de 2010. Se calcula sin hacer deducciones por depreciación de activos fabricados o por agotamiento y degradación de recursos naturales.
Crecimiento del PIB per cápita (% anual),Tasa de crecimiento porcentual anual del PIB per cápita en moneda local constante. Los agregados se basan en dólares estadounidenses constantes de 2010. El PIB a precios de comprador es la suma del valor agregado bruto de todos los productores residentes en la economía más los impuestos sobre los productos y menos las subvenciones no incluidas en el valor de los productos.
"Inflación, deflactor del PIB (% anual)",La inflación medida por la tasa de crecimiento anual del deflactor implícito del PIB muestra la tasa de cambio de precios en la economía en su conjunto. El deflactor implícito del PIB es la relación entre el PIB en moneda local corriente y el PIB en moneda local constante.
Importaciones de bienes y servicios (% del PIB),"Las importaciones de bienes y servicios representan el valor de todos los bienes y otros servicios de mercado recibidos del resto del mundo. Incluyen el valor de la mercancía, flete, seguros, transporte, viajes, regalías, derechos de licencia y otros servicios, como comunicaciones, construcción, financieros, de información, comerciales, personales y gubernamentales. "
Ahorro bruto (% del PIB),El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas.
Desempleo con educación avanzada (%  fuerza laboral con educación avanzada),"El porcentaje de la población activa con un nivel educativo avanzado que está desempleado. La educación superior comprende la educación terciaria de ciclo corto, una licenciatura o un nivel educativo equivalente, una maestría o un nivel educativo equivalente, o un doctorado o un nivel educativo equivalente."
"Relación empleo / población, mayores de 15 años, hombres (%)","Proporción de la población de un país que está empleada. El empleo se define como las personas en edad de trabajar que, durante un breve período de referencia, se dedicaron a cualquier actividad para producir bienes o prestar servicios a cambio de una remuneración o una ganancia. Generalmente, las personas de 15 años o más se consideran la población en edad de trabajar."
"Relación empleo / población, mayores de 15 años, mujeres (%) ","Proporción de la población de un país que está empleada. El empleo se define como las personas en edad de trabajar que, durante un breve período de referencia, se dedicaron a cualquier actividad para producir bienes o prestar servicios a cambio de una remuneración o una ganancia. Generalmente, las personas de 15 años o más se consideran la población en edad de trabajar."
"Relación empleo / población, mayores de 15 años (%) ","Proporción de la población de un país que está empleada. El empleo se define como las personas en edad de trabajar que, durante un breve período de referencia, se dedicaron a cualquier actividad para producir bienes o prestar servicios a cambio de una remuneración o una ganancia. Generalmente, las personas de 15 años o más se consideran la población en edad de trabajar."
