concepto,def
Causa básica de la defunción,Enfermedad o lesión que inició la cadena de acontecimientos patológicos que condujeron directamente a la muerte o las circunstancias del accidente o violencia que produjo la lesión fatal
Clase de embarazo,"Indica si el embarazo fue único, gemelar o múltiple."
Condición de atención prenatal,"Situación que distingue a la madre y al feto, según hayan recibido o no asistencia médica durante el embarazo."
Derechohabiencia,"Persona que se encuentra afiliada a alguna institución de seguridad social, pública o privada."
Edad de la madre,Edad en años cumplidos que tenía la madre en la fecha de ocurrencia de la expulsión o extracción del feto o producto.
Edad del padre,Edad en años cumplidos que tenía el padre en la fecha de ocurrencia de la expulsión o extracción del feto o producto.
Edad gestacional,Tiempo transcurrido entre el primer día del último periodo menstrual de la madre y la fecha de ocurrencia de la extracción o expulsión del feto o producto; se expresa en días o semanas cumplidas.
Entidad federativa,Unidad geográfica mayor de la división político-administrativa del país; el territorio nacional se divide en 31 estados y un distrito federal
Estado conyugal (civil),"Situación de las personas en relación con los derechos y obligaciones legales y de costumbre del país, respecto de la unión o matrimonio; incluye, por lo tanto, las condiciones de hecho y de derecho."
Fecha de ocurrencia,"Es el día, mes y año en que ocurrió el hecho."
Fecha de registro,"Día, mes y año en que se inscribe el hecho vital en la institución correspondiente, según su competencia."
Hijos nacidos muertos,Total de hijos nacidos muertos que tuvo la madre en sus embarazos anteriores al hijo que registra.
Hijos nacidos vivos,"Total de hijos nacidos vivos que haya tenido la madre hasta el momento en que está registrando a su último hijo, independientemente de que estén vivos o muertos que vivan con la madre o en otro lugar. En caso de parto múltiple debe contabilizarse cada hijo por separado."
Hora de la defunción,Especifica la hora y minuto de ocurrencia de la defunción.
Localidad,"Todo lugar ocupado con una o más viviendas, las cuales pueden estar o no habitadas, y que es conocido con un nombre dado por la ley o la costumbre."
Lugar de ocurrencia,"Es la entidad, municipio o delegación y localidad donde ocurrió el hecho vital."
Lugar de ocurrencia de la expulsión o extracción,"Espacio físico donde sucedió la expulsión o extracción del producto, ya sea unidad médica, pública o privada, u otro lugar."
Lugar de registro,"Es la entidad, municipio o delegación y localidad donde se inscribe el hecho vital."
Lugar de residencia habitual de la madre,"Entidad, municipio o delegación y localidad donde la persona tiene su domicilio particular, principal o permanente."
Mortalidad fetal,"Muerte de un producto de la concepción, antes de su expulsión o extracción completa del cuerpo de la madre, independientemente de la duración del embarazo; la muerte está indicada por el hecho de que, después de esa separación, el feto no respira ni manifiesta ningún otro signo de vida, tal como latidos del corazón, pulsaciones del cordón umbilical o movimientos efectivos de los músculos de contracción voluntaria."
Municipio o delegación,División territorial político-administrativa de una entidad federativa. En el caso del Distrito Federal las 16 delegaciones políticas son equivalentes a municipios.
Nivel de escolaridad,Último grado aprobado en el ciclo de instrucción avanzado que declare haber cursado la persona en el Sistema Educativo Nacional o su equivalente en el caso de estudios en el extranjero al momento de registrar el hecho vital.
Ocupación,Conjunto de funciones o tareas específicas que desempeñan las personas en su trabajo.
Ocurrencia de la muerte fetal,Especifica si el feto o producto fallece antes de la expulsión o extracción o durante el trabajo del parto.
Persona que atendió el parto,"Es la persona que asistió a la madre en el parto de un nacimiento vivo o de un nacido muerto (feto). Deben captarse los datos de manera que permitan distinguir los nacimientos y las muertes fetales, según hayan sido asistidos por: médico, enfermera, partera u otra persona."
Persona que certificó la defunción,"Persona autorizada por la ley (el médico que asistió al fallecido en su última enfermedad, o bien, el forense, tanto en las defunciones de personas que no fueron asistidas durante su última enfermedad por un médico, como en las no naturales debidas a violencia o accidente) que emite un certificado en el formulario prescrito, indicando la causa de defunción y otros hechos relacionados con el suceso para que se presente con el registrador local."
Peso al nacer,"Primera medición de peso, hecha después de la extracción o expulsión del producto, se expresa en gramos."
Procedimiento de la expulsión o extracción,Mecanismo empleado para realizar la expulsión o extracción del producto nacido vivo o nacido muerto.
Sexo,Característica biológica que distingue a las personas en hombres y mujeres.
Tamaño de localidad,Número de habitantes que tiene cada localidad de acuerdo a rangos establecidos.
Tipo de aborto,"Indica si el aborto fue espontáneo, terapéutico o provocado. Se define como aborto, la expulsión o extracción completa del cuerpo de madre de un feto o producto de menos de 20 semanas de gestación."
Tipo de embarazo,Indica si el embarazo transcurrió de manera normal o complicada.
Tipo de parto,Indica si el parto culminó en forma normal o si fue complicado.
