concepto,def
Cambio demográfico,"Cambios que ocurren en los grupos de personas, tales como la composición y la variación en el número total de individuos de una determinada población en un área, debido a nacimientos, defunciones, envejecimiento de la población y movimientos migratorios.  "
Crecimiento total anual,"Es el incremento medio anual total de una población, es decir, el número de nacimientos menos el de defunciones, más el de inmigrantes y menos el de emigrantes, durante un determinado periodo."
Desventaja social,"Las desventajas sociales pueden ser definidas como aquellas condiciones sociales que afectan negativamente el desempeño de comunidades, hogares y personas. Sintéticamente, corresponden a menores accesos (conocimiento y/o disponibilidad) y capacidades de gestión de los recursos y de las oportunidades que la sociedad entrega para el desarrollo de sus miembros. Esta situación de desmedro se origina en los factores que constituyen el ordenamiento social imperante y no en las habilidades inherentes o las decisiones libres de los individuos."
Edad mediana de la población,Es una medida estadística de posición que se expresa como la edad que divide la población en dos grupos de igual número de personas. Puede ser un indicador del grado de envejecimiento de la estructura por edades de la población.
Esperanza de vida a la edad x,"Es el número medio de años que, en promedio, les resta por vivir a los sobrevivientes de una cohorte de edad exacta x, sometidos en todas las edades restantes a los riesgos de mortalidad del periodo en estudio."
Edad media de la fecundidad,"Es un indicador de la distribución por edades de las tasas de fecundidad que se calcula como el producto de las edades medias de cada intervalo quinquenal por las tasas de fecundidad respectivas, dividido por la suma de las tasas."
Edad reproductiva (periodo de reproducción),"En la mujer, la edad en que es capaz de procrear y que, según se ha supuesto para fines estadísticos en la mayoría de los países, está comprendida entre los 15 y 49 años de edad."
Esperanza de vida al nacer,"Representa la duración media de la vida de los individuos que integran una cohorte hipotética de nacimientos, sometidos en todas las edades a los riesgos de mortalidad del periodo en estudio. "
Índice de envejecimiento de la población (o relación viejos/jóvenes),En estudios sobre envejecimiento poblacional suele utilizarse como el cociente entre la población de 60 años y más y la población de menores de 15 años de edad.
Índice de masculinidad (o razón de sexos),"Es la razón de hombres respecto a las mujeres en la población total o por edades. Se calcula como el cociente entre la población masculina y la población femenina, frecuentemente se expresa como el número de hombres por cada cien mujeres."
Migración de retorno,"Movimiento de regreso al país de origen realizado por los migrantes, después de haber permanecido un determinado periodo en otro país."
Migración en tránsito,Desplazamiento de personas que transitan por el territorio de un país (sin buscar establecerse en él) para utilizarlo como plataforma en su intento de internarse a otro país.
Menores no acompañados,"Personas que no tienen la mayoría de edad y que no viajan acompañadas por un padre, un tutor o cualquier otro adulto quien por ley o costumbre es responsable de ellos."
